CardImageURLs:	
R1/r1-001.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-001.png
R1/r1-002.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-002.png
R1/r1-003.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-003.png
R1/r1-004.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-004.png
R1/r1-005.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-005.png
R1/r1-006.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-006.png
R1/r1-007.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-007.png
R1/r1-008.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-008.png
R1/r1-009.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-009.png
R1/r1-010.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-010.png
R1/r1-011.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-011.png
R1/r1-012.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-012.png
R1/r1-013.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-013.png
R1/r1-014.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-014.png
R1/r1-015.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-015.png
R1/r1-016.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-016.png
R1/r1-017.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-017.png
R1/r1-018.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-018.png
R1/r1-019.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-019.png
R1/r1-020.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-020.png
R1/r1-021.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-021.png
R1/r1-022.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-022.png
R1/r1-023.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-023.png
R1/r1-024.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-024.png
R1/r1-025.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-025.png
R1/r1-026.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-026.png
R1/r1-027.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-027.png
R1/r1-028.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-028.png
R1/r1-029.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-029.png
R1/r1-030.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-030.png
R1/r1-031.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-031.png
R1/r1-032.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-032.png
R1/r1-033.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-033.png
R1/r1-034.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-034.png
R1/r1-035.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-035.png
R1/r1-036.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-036.png
R1/r1-037.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-037.png
R1/r1-038.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-038.png
R1/r1-039.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-039.png
R1/r1-040.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-040.png
R1/r1-041.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-041.png
R1/r1-042.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-042.png
R1/r1-043.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-043.png
R1/r1-044.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-044.png
R1/r1-045.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-045.png
R1/r1-046.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-046.png
R1/r1-047.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-047.png
R1/r1-048.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-048.png
R1/r1-049.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-049.png
R1/r1-050.png 	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-050.png
R1/r1-051.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-051.png
R1/r1-052.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-052.png
R1/r1-053.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-053.png
R1/r1-054.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R1/r1-054.png
R2/R2-001.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R2/R2-001.png
R2/R2-002.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R2/R2-002.png
R2/R2-003.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R2/R2-003.png
R2/R2-004.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R2/R2-004.png
R2/R2-005.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R2/R2-005.png
R2/R2-006.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R2/R2-006.png
R2/R2-007.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R2/R2-007.png
R2/R2-008.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R2/R2-008.png
R2/R2-009.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R2/R2-009.png
R2/R2-010.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R2/R2-010.png
R2/R2-011.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R2/R2-011.png
R2/R2-012.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R2/R2-012.png
R2/R2-013.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R2/R2-013.png
R2/R2-014.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R2/R2-014.png
R2/R2-015.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R2/R2-015.png
R2/R2-016.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R2/R2-016.png
R2/R2-017.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R2/R2-017.png
R2/R2-018.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R2/R2-018.png
R2/R2-019.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R2/R2-019.png
R2/R2-020.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R2/R2-020.png
R2/R2-021.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R2/R2-021.png
R2/R2-022.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R2/R2-022.png
R2/R2-023.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R2/R2-023.png
R2/R2-024.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R2/R2-024.png
R2/R2-025.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R2/R2-025.png
R2/R2-026.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R2/R2-026.png
R2/R2-027.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R2/R2-027.png
R2/R2-028.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R2/R2-028.png
R2/R2-029.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R2/R2-029.png
R2/R2-030.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R2/R2-030.png
R2/R2-031.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R2/R2-031.png
R2/R2-032.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R2/R2-032.png
R2/R2-033.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R2/R2-033.png
R2/R2-034.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R2/R2-034.png
R2/R2-035.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R2/R2-035.png
R2/R2-036.png 	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R2/R2-036.png
R2/R2-037.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R2/R2-037.png
R2/R2-038.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R2/R2-038.png
R2/R2-039.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R2/R2-039.png
R2/R2-040.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R2/R2-040.png
R2/R2-041.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R2/R2-041.png
R2/R2-042.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R2/R2-042.png
R2/R2-043.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R2/R2-043.png
R2/R2-044.png	https://raw.githubusercontent.com/BlueCavalier41/FETCG-Lackey/main/R2/R2-044.png
