Name	Set	ImageFile	Energy	Attack	Counter	Class	Type	Weapon Rank	Equipment	Leadership	Constitution	Relationships	Skills/Abilities/Affinity	Emblem Powers/Sacred Stones/Divine Siblings	Special Abilities	Use Timing	Effect	Nation	Rom. Name	Script
Roy (Lv10)	R1	r1-001.png	9	3	1	Lord	Male/Sword/Direct/Infantry	Sword B	Emblem Sword			Father: Eliwood	[Fire]		[Command] (Energy 2): Reduce an Outside the Battlefield or Deck cost by 1. Effects stack. / [Seize]: You win the game when this unit enters an enemy sortie square. When this unit withdraws, all of your units retreat 1 square.			March of Pherae	Roy	
Fir (Lv10)	R1	r1-002.png	6	3	1	Myrmidon	Female/Sword/Direct/Infantry	Sword B	Wo Dao [Sharp Strike] (Hand 2): +2 Damage			Father: Bartre / Mother: Karla	[Fire]		[Sharp Blade] (Deck 2): Reduce the energy chips consumed for attacks or counterattacks by -2. Can be used up to two times.			Tribes of Sacae		
Alen (Lv10)	R1	r1-003.png	7	3	1	Cavalier	Male/Sword/Direct/Cavalry	Sword B / Lance C	Steel Sword				[Fire]		[Re-movement] (Energy 1): After an action, the unit can move again.			March of Pherae		
Gwendolyn (Lv10)	R1	r1-004.png	9	3	1	Armor Knight	Female/Lance/Direct/Infantry	Lance B	Gant Lance: The cost of attacking is reduced by -1.			Brother: Bors	[Fire]		[Heavy Step]: Each time this unit moves 1 square, it consumes 1 energy chip. / [Iron Wall] (Hand 2): Reduce damage taken by weapon attacks or counterattacks by -2.			March of Ostia		
Geese (Lv10)	R1	r1-005.png	6	2	1	Pirate	Male/Axe/Direct/Infantry	Axe A	Swordreaver: Damage received from [Lance] is increased by +2. Negate the weapon triangle disadvantage from [Sword].				[Fire]		[Crush] (Deck 2): Remove all cards attached to enemy units damaged by this attack or counterattack.					
Lilina (Lv10)	R1	r1-006.png	5	2	1	Mage	Female/Thunder/Magic/Infantry	Anima B	Thunder			Father: Hector	[Light]		[Afterimage] (Energy X): If you attack using a magic card, it is not removed. X is the amount of required chips for the magic card.			March of Ostia	Lilina	
Fae (Lv10)	R1	r1-007.png	4	0	0	Manakete	Female/Breath/Infantry		Divine Dragonstone				[Light]		[Divine Dragon Transformation] (Deck 3): Unit type becomes "Dragon Tribe" and gains the following abilities. Cannot attack without using [Divine Dragon Transformation]. / [Mist Breath] attacks or counterattacks deal +5 damage, additional +3 damage dealt to "Dragon Tribe" / [Divine Scales] Damage received -2. Reduce damage taken by breath by an additional -2.					
Elffin (Lv10)	R1	r1-008.png	4			Bard	Male/Special/Infantry		Vulnerary [Heal] (Outside the Battlefield 2): Instead of acting, place 2 chips from the used chip pile onto self or an adjacent unit of your army.				[Light]		[Sing] (Energy 1): Instead of acting, put an adjacent unit actionable state. Cannot be used after moving.			Kingdom of Etruria		
Juno (Lv10)	R1	r1-009.png	7	3	2	Falcoknight	Female/Lance/Direct/Flying	Sword C / Lance A	Steel Lance			Sister: Thea, Shanna	[Light]		[Re-movement] (Energy 1): After an action, the unit can move again.			Knights Union of Ilia		
Yoder (Lv10)	R1	r1-010.png	7	3		Bishop	Male/Staff/Recovery/Infantry	Staff S / Light A	Barrier Staff: Target unit receives -2 damage from magic attacks or counterattacks until the start of your next turn.				[Light]		[Support]: You can use used chips to support during the support step. Grants +1 support chip.			Kingdom of Etruria		
